,icl_prompt,ground_truth,target_attributes,GPT 4 Response,borncity,diedcity,city
218,"Menachem, Begin, ""for jointly having negotiated peace between Egypt and Israel in 1978"", Peace: Brest Litovsk
Gregg, Semenza, ""for their discoveries of how cells sense and adapt to oxygen availability"", Medicine: New York NY
Roger, Guillemin, ""for their discoveries concerning the peptide hormone production of the brain"", Medicine: Dijon
Betty, Williams, ""for the courageous efforts in founding a movement to put an end to the violent conflict in Northern Ireland"", Peace: ",Belfast,borncity,Belfast,Belfast,Belfast,
219,"John, Goodenough, ""for the development of lithium-ion batteries"", Chemistry: Jena
Joseph E., Murray, ""for their discoveries concerning organ and cell transplantation in the treatment of human disease"", Medicine: Milford MA
Aristide, Briand, ""for their crucial role in bringing about the Locarno Treaty"", Peace: Nantes
William, Vickrey, ""for their fundamental contributions to the economic theory of incentives under asymmetric information"", Economics: ",Victoria BC,borncity,"Victoria, British Columbia",Victoria BC,Harrison NY,New York NY
220,"Isamu, Akasaki, ""for the invention of efficient blue light-emitting diodes which has enabled bright and energy-saving white light sources"", Physics: Chiran
Betty, Williams, ""for the courageous efforts in founding a movement to put an end to the violent conflict in Northern Ireland"", Peace: Belfast
Joseph, Rotblat, ""for their efforts to diminish the part played by nuclear arms in international politics and in the longer run to eliminate such arms"", Peace: Warsaw
Shuji, Nakamura, ""for the invention of efficient blue light-emitting diodes which has enabled bright and energy-saving white light sources"", Physics: ",Ikata,borncity,Ikata,Ikata,,Santa Barbara CA
221,"Christopher A., Pissarides, ""for their analysis of markets with search frictions"", Economics: Nicosia
Menachem, Begin, ""for jointly having negotiated peace between Egypt and Israel in 1978"", Peace: Brest Litovsk
William, Vickrey, ""for their fundamental contributions to the economic theory of incentives under asymmetric information"", Economics: Victoria BC
F. Sherwood, Rowland, ""for their work in atmospheric chemistry particularly concerning the formation and decomposition of ozone"", Chemistry: ",Delaware OH,borncity,"Delaware, OH",Delaware OH,Corona del Mar CA,Irvine CA
222,"Octavio, Paz, ""for impassioned writing with wide horizons characterized by sensuous intelligence and humanistic integrity"", Literature: Mexico City
Richard, Kuhn, ""for his work on carotenoids and vitamins"", Chemistry: Vienna
Paul, Modrich, ""for mechanistic studies of DNA repair"", Chemistry: Raton NM
Al, Gore, ""for their efforts to build up and disseminate greater knowledge about man-made climate change and to lay the foundations for the measures that are needed to counteract such change"", Peace: ",Washington D.C.,borncity,"Washington, D.C.",Washington D.C.,,
223,"John E., Walker, ""for their elucidation of the enzymatic mechanism underlying the synthesis of adenosine triphosphate (ATP)"", Chemistry: Halifax
Jean, Dausset, ""for their discoveries concerning genetically determined structures on the cell surface that regulate immunological reactions"", Medicine: Toulouse
Konrad, Lorenz, ""for their discoveries concerning organization and elicitation of individual and social behaviour patterns"", Medicine: Vienna
Hans, Spemann, ""for his discovery of the organizer effect in embryonic development"", Medicine: ",Stuttgart,borncity,Freiburg,Stuttgart,Freiburg im Breisgau,Breisgau
224,"Luis, Leloir, ""for his discovery of sugar nucleotides and their role in the biosynthesis of carbohydrates"", Chemistry: Paris
Robert B., Laughlin, ""for their discovery of a new form of quantum fluid with fractionally charged excitations"", Physics: Visalia CA
Robert B., Woodward, ""for his outstanding achievements in the art of organic synthesis"", Chemistry: Boston MA
Rodney R., Porter, ""for their discoveries concerning the chemical structure of antibodies"", Medicine: ",Newton-le-Willows,borncity,"Newton-le-Willows, United Kingdom",Newton-le-Willows,Winchester,Oxford
225,"Esther, Duflo, ""for their experimental approach to alleviating global poverty"", Economics: Paris
Hendrik A., Lorentz, ""in recognition of the extraordinary service they rendered by their researches into the influence of magnetism upon radiation phenomena"", Physics: Arnhem
John, Pople, ""for his development of computational methods in quantum chemistry"", Chemistry: Burnham-on-Sea
John, Bardeen, ""for their jointly developed theory of superconductivity usually called the BCS-theory"", Physics: ",Madison WI,borncity,Madison,Madison WI,Boston MA,Urbana IL
226,"George R., Minot, ""for their discoveries concerning liver therapy in cases of anaemia"", Medicine: Boston MA
Sir John, Eccles, ""for their discoveries concerning the ionic mechanisms involved in excitation and inhibition in the peripheral and central portions of the nerve cell membrane"", Medicine: Melbourne
Feodor, Lynen, ""for their discoveries concerning the mechanism and regulation of the cholesterol and fatty acid metabolism"", Medicine: Munich
Gérard, Mourou, ""for their method of generating high-intensity ultra-short optical pulses"", Physics: ",Albertville,borncity,"École Polytechnique, Palaiseau",Albertville,,Palaiseau
227,"Ben R., Mottelson, ""for the discovery of the connection between collective motion and particle motion in atomic nuclei and the development of the theory of the structure of the atomic nucleus based on this connection"", Physics: Chicago IL
Boris, Pasternak, ""for his important achievement both in contemporary lyrical poetry and in the field of the great Russian epic tradition"", Literature: Moscow
Dickinson W., Richards, ""for their discoveries concerning heart catheterization and pathological changes in the circulatory system"", Medicine: Orange NJ
Paul J., Flory, ""for his fundamental achievements both theoretical and experimental in the physical chemistry of the macromolecules"", Chemistry: ",Sterling IL,borncity,Palo Alto CA,Sterling IL,Big Sur CA,Stanford CA
228,"Friedrich, von Hayek, ""for their pioneering work in the theory of money and economic fluctuations and for their penetrating analysis of the interdependence of economic social and institutional phenomena"", Economics: Vienna
William B., Shockley, ""for their researches on semiconductors and their discovery of the transistor effect"", Physics: London
Jimmy, Carter, ""for his decades of untiring effort to find peaceful solutions to international conflicts to advance democracy and human rights and to promote economic and social development"", Peace: Plains GA
Alfred, Kastler, ""for the discovery and development of optical methods for studying Hertzian resonances in atoms"", Physics: ",Guebwiller,borncity,Guebwiller,Guebwiller,Bandol,Paris
229,"Paul, Sabatier, ""for his method of hydrogenating organic compounds in the presence of finely disintegrated metals whereby the progress of organic chemistry has been greatly advanced in recent years"", Chemistry: Carcassonne
Robert, Mundell, ""for his analysis of monetary and fiscal policy under different exchange rate regimes and his analysis of optimum currency areas"", Economics: Kingston ON
Irène, Joliot-Curie, ""in recognition of their synthesis of new radioactive elements"", Chemistry: Paris
Leonid, Hurwicz, ""for having laid the foundations of mechanism design theory"", Economics: ",Moscow,borncity,Moscow,Moscow,Minneapolis MN,Minneapolis MN
230,"Bob, Dylan, ""for having created new poetic expressions within the great American song tradition"", Literature: Duluth MN
Frédéric, Passy, ""for his lifelong work for international peace conferences diplomacy and arbitration"", Peace: Paris
Paul J., Crutzen, ""for their work in atmospheric chemistry particularly concerning the formation and decomposition of ozone"", Chemistry: Amsterdam
Michael, Levitt, ""for the development of multiscale models for complex chemical systems"", Chemistry: ",Pretoria,borncity,Pretoria,Pretoria,,Stanford CA
231,"Edward B., Lewis, ""for their discoveries concerning the genetic control of early embryonic development"", Medicine: Wilkes-Barre PA
Abhijit, Banerjee, ""for their experimental approach to alleviating global poverty"", Economics: Mumbai
Enrico, Fermi, ""for his demonstrations of the existence of new radioactive elements produced by neutron irradiation and for his related discovery of nuclear reactions brought about by slow neutrons"", Physics: Rome
Christian, Anfinsen, ""for his work on ribonuclease especially concerning the connection between the amino acid sequence and the biologically active conformation"", Chemistry: ",Monessen PA,borncity,"Monessen, PA",Monessen PA,Randallstown MD,Bethesda MD
232,"Susumu, Tonegawa, ""for his discovery of the genetic principle for generation of antibody diversity"", Medicine: Nagoya
Ernest, Hemingway, ""for his mastery of the art of narrative most recently demonstrated in <I>The Old Man and the Sea</I> and for the influence that he has exerted on contemporary style"", Literature: Oak Park IL
Alfred, Kastler, ""for the discovery and development of optical methods for studying Hertzian resonances in atoms"", Physics: Guebwiller
May-Britt, Moser, ""for their discoveries of cells that constitute a positioning system in the brain"", Medicine: ",Fosnavåg,borncity,Fosnavåg,Fosnavåg,,Trondheim
233,"Edmond H., Fischer, ""for their discoveries concerning reversible protein phosphorylation as a biological regulatory mechanism"", Medicine: Shanghai
Frédéric, Passy, ""for his lifelong work for international peace conferences diplomacy and arbitration"", Peace: Paris
Edward C., Prescott, ""for their contributions to dynamic macroeconomics: the time consistency of economic policy and the driving forces behind business cycles"", Economics: Glens Falls NY
Octavio, Paz, ""for impassioned writing with wide horizons characterized by sensuous intelligence and humanistic integrity"", Literature: ",Mexico City,borncity,Mexico City,Mexico City,Mexico City,
234,"Juan Manuel, Santos, ""for his resolute efforts to bring the country's more than 50-year-long civil war to an end"", Peace: Bogotá
Sidney, Altman, ""for their discovery of catalytic properties of RNA"", Chemistry: Montreal
Erwin, Neher, ""for their discoveries concerning the function of single ion channels in cells"", Medicine: Landsberg
Pablo, Neruda, ""for a poetry that with the action of an elemental force brings alive a continent's destiny and dreams"", Literature: ",Parral,borncity,Parral,Parral,Santiago,
235,"Derek, Barton, ""for their contributions to the development of the concept of conformation and its application in chemistry"", Chemistry: Gravesend
Sir James W., Black, ""for their discoveries of important principles for drug treatment"", Medicine: Uddingston
Frédéric, Joliot, ""in recognition of their synthesis of new radioactive elements"", Chemistry: Paris
Sully, Prudhomme, ""in special recognition of his poetic composition which gives evidence of lofty idealism artistic perfection and a rare combination of the qualities of both heart and intellect"", Literature: ",Paris,borncity,Paris,Paris,Châtenay,
236,"Angus, Deaton, ""for his analysis of consumption poverty and welfare"", Economics: Edinburgh
Edward C., Prescott, ""for their contributions to dynamic macroeconomics: the time consistency of economic policy and the driving forces behind business cycles"", Economics: Glens Falls NY
Jean-Paul, Sartre, ""for his work which rich in ideas and filled with the spirit of freedom and the quest for truth has exerted a far-reaching influence on our age"", Literature: Paris
Jules A., Hoffmann, ""for their discoveries concerning the activation of innate immunity"", Medicine: ",Echternach,borncity,Echternach,Echternach,,Strasbourg
237,"Daniel, Nathans, ""for the discovery of restriction enzymes and their application to problems of molecular genetics"", Medicine: Wilmington DE
Karl, Landsteiner, ""for his discovery of human blood groups"", Medicine: Vienna
Wladyslaw, Reymont, ""for his great national epic <I>The Peasants</I>"", Literature: Kobiele Wielkie
Adam G., Riess, ""for the discovery of the accelerating expansion of the Universe through observations of distant supernovae"", Physics: ",Washington D.C.,borncity,"Washington, D.C.",Washington D.C.,,Baltimore MD
238,"Lars, Onsager, ""for the discovery of the reciprocal relations bearing his name which are fundamental for the thermodynamics of irreversible processes"", Chemistry: Kristiania (now Oslo)
J. Michael, Bishop, ""for their discovery of the cellular origin of retroviral oncogenes"", Medicine: York PA
Archibald V., Hill, ""for his discovery relating to the production of heat in the muscle"", Medicine: Bristol
Arno, Penzias, ""for their discovery of cosmic microwave background radiation"", Physics: ",Munich,borncity,Munich,Munich,,Holmdel NJ
239,"Jaroslav, Seifert, ""for his poetry which endowed with freshness sensuality and rich inventiveness provides a liberating image of the indomitable spirit and versatility of man"", Literature: Prague
James, Chadwick, ""for the discovery of the neutron"", Physics: Manchester
Gerald M., Edelman, ""for their discoveries concerning the chemical structure of antibodies"", Medicine: New York NY
Robert W., Fogel, ""for having renewed research in economic history by applying economic theory and quantitative methods in order to explain economic and institutional change"", Economics: ",New York NY,borncity,Chicago IL,New York NY,Oak Lawn IL,Chicago IL
240,"Robert B., Woodward, ""for his outstanding achievements in the art of organic synthesis"", Chemistry: Boston MA
Ragnar, Granit, ""for their discoveries concerning the primary physiological and chemical visual processes in the eye"", Medicine: Helsinki
Svetlana, Alexievich, ""for her polyphonic writings a monument to suffering and courage in our time"", Literature: Ivano-Frankivsk
Oliver, Hart, ""for their contributions to contract theory"", Economics: ",London,borncity,London,London,,Cambridge MA
241,"Karl, Gjellerup, ""for his varied and rich poetry which is inspired by lofty ideals"", Literature: Roholte
Ralph, Bunche, ""for his work as mediator in Palestine in 1948-1949"", Peace: Detroit MI
François, Mauriac, ""for the deep spiritual insight and the artistic intensity with which he has in his novels penetrated the drama of human life"", Literature: Bordeaux
Edwin G., Krebs, ""for their discoveries concerning reversible protein phosphorylation as a biological regulatory mechanism"", Medicine: ",Lansing IA,borncity,Lansing IA,Lansing IA,Seattle WA,Seattle WA
242,"Ben R., Mottelson, ""for the discovery of the connection between collective motion and particle motion in atomic nuclei and the development of the theory of the structure of the atomic nucleus based on this connection"", Physics: Chicago IL
Ales, Bialiatski, ""The Peace Prize laureates represent civil society in their home countries. They have for many years promoted the right to criticise power and protect the fundamental rights of citizens. They have made an outstanding effort to document war crimes human right abuses and the abuse of power. Together they demonstrate the significance of civil society for peace and democracy."", Peace: Vyartsilya Karelia
Stanley B., Prusiner, ""for his discovery of Prions - a new biological principle of infection"", Medicine: Des Moines IA
Aaron, Ciechanover, ""for the discovery of ubiquitin-mediated protein degradation"", Chemistry: ",Haifa,borncity,"Haifa, Israel",Haifa,,Haifa
243,"Abiy, Ahmed Ali, ""for his efforts to achieve peace and international cooperation and in particular for his decisive initiative to resolve the border conflict with neighbouring Eritrea"", Peace: Beshasha
Thomas J., Sargent, ""for their empirical research on cause and effect in the macroeconomy"", Economics: Pasadena CA
Robert, Huber, ""for the determination of the three-dimensional structure of a photosynthetic reaction centre"", Chemistry: Munich
Walther, Nernst, ""in recognition of his work in thermochemistry"", Chemistry: ",Briesen (now Wąbrzeźno),borncity,Berlin,Briesen (now Wąbrzeźno),Muskau,Berlin
244,"Alfred, Fried, ""for his effort to expose and fight what he considers to be the main cause of war namely the anarchy in international relations"", Peace: Vienna
John C., Polanyi, ""for their contributions concerning the dynamics of chemical elementary processes"", Chemistry: Berlin
Eugene F., Fama, ""for their empirical analysis of asset prices"", Economics: Boston MA
Paul C., Lauterbur, ""for their discoveries concerning magnetic resonance imaging"", Medicine: ",Sidney OH,borncity,"Urbana, IL",Sidney OH,Urbana IL,Urbana IL
245,"Milton, Friedman, ""for his achievements in the fields of consumption analysis monetary history and theory and for his demonstration of the complexity of stabilization policy"", Economics: Brooklyn NY
Oliver, Hart, ""for their contributions to contract theory"", Economics: London
Sinclair, Lewis, ""for his vigorous and graphic art of description and his ability to create with wit and humour new types of characters"", Literature: Sauk Centre MN
Élie, Ducommun, ""for his untiring and skilful directorship of the Bern Peace Bureau"", Peace: ",Geneva,borncity,Geneva,Geneva,Bern,
246,"Richard E., Taylor, ""for their pioneering investigations concerning deep inelastic scattering of electrons on protons and bound neutrons which have been of essential importance for the development of the quark model in particle physics"", Physics: Medicine Hat Alberta
Eisaku, Sato, ""for his contribution to stabilize conditions in the Pacific rim area and for signing the Nuclear Non-Proliferation Treaty"", Peace: Tabuse
Karl, Ziegler, ""for their discoveries in the field of the chemistry and technology of high polymers"", Chemistry: Helsa
Alfonso, García Robles, ""for their work for disarmament and nuclear and weapon-free zones"", Peace: ",Zamora,borncity,Zamora,Zamora,Mexico City,
247,"Albert, Schweitzer, ""for his altruism reverence for life and tireless humanitarian work which has helped making the idea of brotherhood between men and nations a living one"", Peace: Kaysersberg
André, Gide, ""for his comprehensive and artistically significant writings in which human problems and conditions have been presented with a fearless love of truth and keen psychological insight"", Literature: Paris
Walter, Kohn, ""for his development of the density-functional theory"", Chemistry: Vienna
Carlos, Saavedra Lamas, ""for his role as father of the Argentine Antiwar Pact of 1933 which he also used as a means to mediate peace between Paraguay and Bolivia in 1935"", Peace: ",Buenos Aires,borncity,Buenos Aires,Buenos Aires,Buenos Aires,
248,"George C., Marshall, ""for proposing and supervising the plan for the economic recovery of Europe"", Peace: Uniontown PA
Jennifer A., Doudna, ""for the development of a method for genome editing"", Chemistry: Washington D.C.
José, Saramago, ""who with parables sustained by imagination compassion and irony continually enables us once again to apprehend an elusory reality"", Literature: Azinhaga
Richard H., Thaler, ""for his contributions to behavioural economics"", Economics: ",East Orange NJ,borncity,East Orange NJ,East Orange NJ,,Chicago IL
249,"Rainer, Weiss, ""for decisive contributions to the LIGO detector and the observation of gravitational waves"", Physics: Berlin
Sir Norman, Angell, ""for having exposed by his pen the illusion of war and presented a convincing plea for international cooperation and peace"", Peace: Holbeach
Douglas D., Osheroff, ""for their discovery of superfluidity in helium-3"", Physics: Aberdeen WA
James P., Allison, ""for their discovery of cancer therapy by inhibition of negative immune regulation"", Medicine: ",Alice TX,borncity,"Alice, Texas",Alice TX,,San Francisco CA
250,"Doris, Lessing, ""that epicist of the female experience who with scepticism fire and visionary power has subjected a divided civilisation to scrutiny"", Literature: Kermanshah
André, Gide, ""for his comprehensive and artistically significant writings in which human problems and conditions have been presented with a fearless love of truth and keen psychological insight"", Literature: Paris
Ernest, Lawrence, ""for the invention and development of the cyclotron and for results obtained with it especially with regard to artificial radioactive elements"", Physics: Canton SD
Robert S., Mulliken, ""for his fundamental work concerning chemical bonds and the electronic structure of molecules by the molecular orbital method"", Chemistry: ",Newburyport MA,borncity,"Newburyport, MA",Newburyport MA,Arlington VA,Chicago IL
251,"Niels K., Jerne, ""for theories concerning the specificity in development and control of the immune system and the discovery of the principle for production of monoclonal antibodies"", Medicine: London
Muhammad, Yunus, ""for their efforts to create economic and social development from below"", Peace: Chittagong
Ellen, Johnson Sirleaf, ""for their non-violent struggle for the safety of women and for women's rights to full participation in peace-building work"", Peace: Monrovia
Isamu, Akasaki, ""for the invention of efficient blue light-emitting diodes which has enabled bright and energy-saving white light sources"", Physics: ",Chiran,borncity,Nagoya,Chiran,Nagoya,Nagoya
252,"Jaroslav, Heyrovsky, ""for his discovery and development of the polarographic methods of analysis"", Chemistry: Prague
Paul D., Boyer, ""for their elucidation of the enzymatic mechanism underlying the synthesis of adenosine triphosphate (ATP)"", Chemistry: Provo UT
Arthur, Harden, ""for their investigations on the fermentation of sugar and fermentative enzymes"", Chemistry: Manchester
Robert, Wilson, ""for improvements to auction theory and inventions of new auction formats"", Economics: ",Geneva NE,borncity,"Stanford, CA",Geneva NE,,Stanford CA
253,"Hans, Bethe, ""for his contributions to the theory of nuclear reactions especially his discoveries concerning the energy production in stars"", Physics: Strasbourg
André F., Cournand, ""for their discoveries concerning heart catheterization and pathological changes in the circulatory system"", Medicine: Paris
Yoichiro, Nambu, ""for the discovery of the mechanism of spontaneous broken symmetry in subatomic physics"", Physics: Tokyo
Alva, Myrdal, ""for their work for disarmament and nuclear and weapon-free zones"", Peace: ",Uppsala,borncity,"Stockholm Dickinson W., Richards, ""for their discoveries concerning heart catheterization and pathological changes in the circulatory system"", Medicine: New York Alfonso, García Robles, ""for their work for disarmament and nuclear and weapon-free zones"", Peace: Mexico City",Uppsala,Stockholm,
254,"Denis, Mukwege, ""for their efforts to end the use of sexual violence as a weapon of war and armed conflict"", Peace: Bukavu
William, Lipscomb, ""for his studies on the structure of boranes illuminating problems of chemical bonding"", Chemistry: Cleveland OH
Dan, Shechtman, ""for the discovery of quasicrystals"", Chemistry: Tel Aviv
Jean-Marie, Lehn, ""for their development and use of molecules with structure-specific interactions of high selectivity"", Chemistry: ",Rosheim,borncity,Strasbourg,Rosheim,,Strasbourg
255,"Jennifer A., Doudna, ""for the development of a method for genome editing"", Chemistry: Washington D.C.
Sir Martin J., Evans, ""for their discoveries of principles for introducing specific gene modifications in mice by the use of embryonic stem cells"", Medicine: Stroud
Eric, Betzig, ""for the development of super-resolved fluorescence microscopy"", Chemistry: Ann Arbor MI
Roger B., Myerson, ""for having laid the foundations of mechanism design theory"", Economics: ",Boston MA,borncity,"Evanston, IL",Boston MA,,Chicago IL
256,"Arthur, Kornberg, ""for their discovery of the mechanisms in the biological synthesis of ribonucleic acid and deoxyribonucleic acid"", Medicine: Brooklyn NY
Hiroshi, Amano, ""for the invention of efficient blue light-emitting diodes which has enabled bright and energy-saving white light sources"", Physics: Hamamatsu
Kary B., Mullis, ""for his invention of the polymerase chain reaction (PCR) method"", Chemistry: Lenoir NC
Gerard, Debreu, ""for having incorporated new analytical methods into economic theory and for his rigorous reformulation of the theory of general equilibrium"", Economics: ",Calais,borncity,"Calais, France",Calais,Paris,Berkeley CA
257,"Bjørnstjerne, Bjørnson, ""as a tribute to his noble magnificent and versatile poetry which has always been distinguished by both the freshness of its inspiration and the rare purity of its spirit"", Literature: Kvikne
George A., Olah, ""for his contribution to carbocation chemistry"", Chemistry: Budapest
Norman F., Ramsey, ""for the invention of the separated oscillatory fields method and its use in the hydrogen maser and other atomic clocks"", Physics: Washington D.C.
Woodrow, Wilson, ""for his role as founder of the League of Nations"", Peace: ",Staunton VA,borncity,"Staunton, Virginia",Staunton VA,Washington D.C.,
258,"Marie, Curie, ""in recognition of the extraordinary services they have rendered by their joint researches on the radiation phenomena discovered by Professor Henri Becquerel"", Physics: Warsaw
Frédéric, Passy, ""for his lifelong work for international peace conferences diplomacy and arbitration"", Peace: Paris
Jean Baptiste, Perrin, ""for his work on the discontinuous structure of matter and especially for his discovery of sedimentation equilibrium"", Physics: Lille
Thomas C., Schelling, ""for having enhanced our understanding of conflict and cooperation through game-theory analysis"", Economics: ",Oakland CA,borncity,Oakland,Oakland CA,Bethesda MD,College Park MD
259,"H. Robert, Horvitz, ""for their discoveries concerning genetic regulation of organ development and programmed cell death'"", Medicine: Chicago IL
Robert E., Lucas Jr., ""for having developed and applied the hypothesis of rational expectations and thereby having transformed macroeconomic analysis and deepened our understanding of economic policy"", Economics: Yakima WA
Eric, Cornell, ""for the achievement of Bose-Einstein condensation in dilute gases of alkali atoms and for early fundamental studies of the properties of the condensates"", Physics: Palo Alto CA
Melvin, Calvin, ""for his research on the carbon dioxide assimilation in plants"", Chemistry: ",St. Paul MN,borncity,St. Paul MN,St. Paul MN,Berkeley CA,Berkeley CA
260,"Pär, Lagerkvist, ""for the artistic vigour and true independence of mind with which he endeavours in his poetry to find answers to the eternal questions confronting mankind"", Literature: Växjö
Arthur, Henderson, ""for his untiring struggle and his courageous efforts as Chairman of the League of Nations Disarmament Conference 1931-34"", Peace: Glasgow
Hiroshi, Amano, ""for the invention of efficient blue light-emitting diodes which has enabled bright and energy-saving white light sources"", Physics: Hamamatsu
Erwin, Neher, ""for their discoveries concerning the function of single ion channels in cells"", Medicine: ",Landsberg,borncity,Göttingen,Landsberg,,Göttingen
261,"Robert G., Edwards, ""for the development of in vitro fertilization"", Medicine: Batley
Julius, Wagner-Jauregg, ""for his discovery of the therapeutic value of malaria inoculation in the treatment of dementia paralytica"", Medicine: Wels
Miguel Angel, Asturias, ""for his vivid literary achievement deep-rooted in the national traits and traditions of Indian peoples of Latin America"", Literature: Guatemala City
Johannes Diderik, van der Waals, ""for his work on the equation of state for gases and liquids"", Physics: ",Leiden,borncity,Leiden,Leiden,Amsterdam,Amsterdam
262,"Nadine, Gordimer, ""who through her magnificent epic writing has - in the words of Alfred Nobel - been of very great benefit to humanity"", Literature: Springs
Mikhail, Sholokhov, ""for the artistic power and integrity with which in his epic of the Don he has given expression to a historic phase in the life of the Russian people"", Literature: Veshenskaya
George F., Smoot, ""for their discovery of the blackbody form and anisotropy of the cosmic microwave background radiation"", Physics: Yukon FL
Ales, Bialiatski, ""The Peace Prize laureates represent civil society in their home countries. They have for many years promoted the right to criticise power and protect the fundamental rights of citizens. They have made an outstanding effort to document war crimes human right abuses and the abuse of power. Together they demonstrate the significance of civil society for peace and democracy."", Peace: ",Vyartsilya Karelia,borncity,Viachorka,Vyartsilya Karelia,,
263,"Hans, von Euler-Chelpin, ""for their investigations on the fermentation of sugar and fermentative enzymes"", Chemistry: Augsburg
Jack, Steinberger, ""for the neutrino beam method and the demonstration of the doublet structure of the leptons through the discovery of the muon neutrino"", Physics: Bad Kissingen
May-Britt, Moser, ""for their discoveries of cells that constitute a positioning system in the brain"", Medicine: Fosnavåg
Wilhelm Conrad, Röntgen, ""in recognition of the extraordinary services he has rendered by the discovery of the remarkable rays subsequently named after him"", Physics: ",Lennep (now Remscheid),borncity,Lennep,Lennep (now Remscheid),Munich,Munich
264,"Jean-Marie, Lehn, ""for their development and use of molecules with structure-specific interactions of high selectivity"", Chemistry: Rosheim
Martin, Rodbell, ""for their discovery of G-proteins and the role of these proteins in signal transduction in cells"", Medicine: Baltimore MD
Leon M., Lederman, ""for the neutrino beam method and the demonstration of the doublet structure of the leptons through the discovery of the muon neutrino"", Physics: New York NY
Derek, Barton, ""for their contributions to the development of the concept of conformation and its application in chemistry"", Chemistry: ",Gravesend,borncity,"College Station, TX Odd, Hassel, ""for their contributions to the development of the concept of conformation and its application in chemistry"", Chemistry: Oslo Alfred G., Gilman, ""for their discovery of G-proteins and the role of these proteins in signal transduction in cells"", Medicine: Dallas, TX Melvin, Schwartz, ""for the neutrino beam method and the demonstration of the doublet structure of the leptons through the discovery of the muon neutrino"", Physics: New York, NY Jack, Steinberger, ""for the neutrino beam method and the demonstration of the doublet structure of the leptons through the discovery of the muon neutrino"", Physics: Geneva",Gravesend,College Station TX,London
265,"Jack W., Szostak, ""for the discovery of how chromosomes are protected by telomeres and the enzyme telomerase"", Medicine: London
Oliver, Hart, ""for their contributions to contract theory"", Economics: London
Yasser, Arafat, ""for their efforts to create peace in the Middle East"", Peace: Cairo
Reinhard, Genzel, ""for the discovery of a supermassive compact object at the centre of our galaxy"", Physics: ",Bad Homburg vor der Höhe,borncity,Munich,Bad Homburg vor der Höhe,,Garching
266,"Kai M., Siegbahn, ""for his contribution to the development of high-resolution electron spectroscopy"", Physics: Lund
Thomas C., Südhof, ""for their discoveries of machinery regulating vesicle traffic a major transport system in our cells"", Medicine: Göttingen
Denis, Mukwege, ""for their efforts to end the use of sexual violence as a weapon of war and armed conflict"", Peace: Bukavu
Karl, Ziegler, ""for their discoveries in the field of the chemistry and technology of high polymers"", Chemistry: ",Helsa,borncity,Mülheim,Helsa,Mülheim,Mülheim an der Ruhr
267,"Pyotr, Kapitsa, ""for his basic inventions and discoveries in the area of low-temperature physics"", Physics: Kronshtadt
Robert, Huber, ""for the determination of the three-dimensional structure of a photosynthetic reaction centre"", Chemistry: Munich
Herbert C., Brown, ""for their development of the use of boron- and phosphorus-containing compounds respectively into important reagents in organic synthesis"", Chemistry: London
Richard, Willstätter, ""for his researches on plant pigments especially chlorophyll"", Chemistry: ",Karlsruhe,borncity,Munich,Karlsruhe,Locarno,Berlin-Dahlem
268,"Martin Luther, King Jr., ""for his non-violent struggle for civil rights for the Afro-American population"", Peace: Atlanta GA
Michel, Mayor, ""for the discovery of an exoplanet orbiting a solar-type star"", Physics: Lausanne
Ernst Otto, Fischer, ""for their pioneering work performed independently on the chemistry of the organometallic so called sandwich compounds"", Chemistry: Munich
Henry W., Kendall, ""for their pioneering investigations concerning deep inelastic scattering of electrons on protons and bound neutrons which have been of essential importance for the development of the quark model in particle physics"", Physics: ",Boston MA,borncity,Cambridge MA,Boston MA,Wakulla Springs State Park FL,Cambridge MA
269,"Pearl, Buck, ""for her rich and truly epic descriptions of peasant life in China and for her biographical masterpieces"", Literature: Hillsboro WV
Ivan, Pavlov, ""in recognition of his work on the physiology of digestion through which knowledge on vital aspects of the subject has been transformed and enlarged"", Medicine: Ryazan
John, Pople, ""for his development of computational methods in quantum chemistry"", Chemistry: Burnham-on-Sea
Mario J., Molina, ""for their work in atmospheric chemistry particularly concerning the formation and decomposition of ozone"", Chemistry: ",Mexico City,borncity,Mexico City,Mexico City,Mexico City,Cambridge MA
270,"Adolf, von Baeyer, ""in recognition of his services in the advancement of organic chemistry and the chemical industry through his work on organic dyes and hydroaromatic compounds"", Chemistry: Berlin
Rosalyn, Yalow, ""for the development of radioimmunoassays of peptide hormones"", Medicine: New York NY
Nikolaas, Tinbergen, ""for their discoveries concerning organization and elicitation of individual and social behaviour patterns"", Medicine: the Hague
Robert C., Richardson, ""for their discovery of superfluidity in helium-3"", Physics: ",Washington D.C.,borncity,Ithaca NY,Washington D.C.,Ithaca NY,Ithaca NY
271,"Dario, Fo, ""who emulates the jesters of the Middle Ages in scourging authority and upholding the dignity of the downtrodden"", Literature: Leggiuno-Sangiano
Luis, Leloir, ""for his discovery of sugar nucleotides and their role in the biosynthesis of carbohydrates"", Chemistry: Paris
Wole, Soyinka, ""who in a wide cultural perspective and with poetic overtones fashions the drama of existence"", Literature: Abeokuta
René, Cassin, ""for his struggle to ensure the rights of man as stipulated in the UN Declaration"", Peace: ",Bayonne,borncity,Bayonne,Bayonne,Paris,
