,icl_prompt,ground_truth,target_attributes,GPT 4 Response,born,died,year
194,"Hans, von Euler-Chelpin, ""for their investigations on the fermentation of sugar and fermentative enzymes"", Chemistry: 1873
Friedrich, von Hayek, ""for their pioneering work in the theory of money and economic fluctuations and for their penetrating analysis of the interdependence of economic social and institutional phenomena"", Economics: 1899
Aaron, Klug, ""for his development of crystallographic electron microscopy and his structural elucidation of biologically important nucleic acid-protein complexes"", Chemistry: 1926
Randy W., Schekman, ""for their discoveries of machinery regulating vesicle traffic a major transport system in our cells"", Medicine: ",1948,born,1948,1948,,2013
195,"Wolfgang, Paul, ""for the development of the ion trap technique"", Physics: 1913
Samuel, Beckett, ""for his writing which - in new forms for the novel and drama - in the destitution of modern man acquires its elevation"", Literature: 1906
Bertha, von Suttner, ""for her audacity to oppose the horrors of war"", Peace: 1843
John C., Kendrew, ""for their studies of the structures of globular proteins"", Chemistry: ",1917,born,1917,1917,1997,1962
196,"Max F., Perutz, ""for their studies of the structures of globular proteins"", Chemistry: 1914
Carlos, Saavedra Lamas, ""for his role as father of the Argentine Antiwar Pact of 1933 which he also used as a means to mediate peace between Paraguay and Bolivia in 1935"", Peace: 1878
Sir Austen, Chamberlain, ""for his crucial role in bringing about the Locarno Treaty"", Peace: 1863
Bengt I., Samuelsson, ""for their discoveries concerning prostaglandins and related biologically active substances"", Medicine: ",1934,born,1934,1934,,1982
197,"Nicolaas, Bloembergen, ""for their contribution to the development of laser spectroscopy"", Physics: 1920
Sir Gregory P., Winter, ""for the phage display of peptides and antibodies"", Chemistry: 1951
Gunnar, Myrdal, ""for their pioneering work in the theory of money and economic fluctuations and for their penetrating analysis of the interdependence of economic social and institutional phenomena"", Economics: 1898
Rolf M., Zinkernagel, ""for their discoveries concerning the specificity of the cell mediated immune defence"", Medicine: ",1944,born,1944,1944,,1996
198,"Subramanyan, Chandrasekhar, ""for his theoretical studies of the physical processes of importance to the structure and evolution of the stars"", Physics: 1910
Shuji, Nakamura, ""for the invention of efficient blue light-emitting diodes which has enabled bright and energy-saving white light sources"", Physics: 1954
Patrick, Modiano, ""for the art of memory with which he has evoked the most ungraspable human destinies and
uncovered the life-world of the occupation"", Literature: 1945
Randal, Cremer, ""for his longstanding and devoted effort in favour of the ideas of peace and arbitration"", Peace: ",1828,born,1828,1828,1908,1903
199,"Robert, Cecil, ""for his tireless effort in support of the League of Nations disarmament and peace"", Peace: 1864
Max, von Laue, ""for his discovery of the diffraction of X-rays by crystals"", Physics: 1879
Alexis, Carrel, ""in recognition of his work on vascular suture and the transplantation of blood vessels and organs"", Medicine: 1873
Richard R., Schrock, ""for the development of the metathesis method in organic synthesis"", Chemistry: ",1945,born,1945,1945,,2005
200,"J. Georg, Bednorz, ""for their important break-through in the discovery of superconductivity in ceramic materials"", Physics: 1950
Svante, Arrhenius, ""in recognition of the extraordinary services he has rendered to the advancement of chemistry by his electrolytic theory of dissociation"", Chemistry: 1859
David, MacMillan, ""for the development of asymmetric organocatalysis"", Chemistry: 1968
Shuji, Nakamura, ""for the invention of efficient blue light-emitting diodes which has enabled bright and energy-saving white light sources"", Physics: ",1954,born,1954,1954,,2014
201,"Henrik, Dam, ""for his discovery of vitamin K"", Medicine: 1895
Gabriela, Mistral, ""for her lyric poetry which inspired by powerful emotions has made her name a symbol of the idealistic aspirations of the entire Latin American world"", Literature: 1889
F. Sherwood, Rowland, ""for their work in atmospheric chemistry particularly concerning the formation and decomposition of ozone"", Chemistry: 1927
Carlo, Rubbia, ""for their decisive contributions to the large project which led to the discovery of the field particles W and Z communicators of weak interaction"", Physics: ",1934,born,1934,1934,,1984
202,"Richard, Kuhn, ""for his work on carotenoids and vitamins"", Chemistry: 1900
Tomas, Tranströmer, ""because through his condensed translucent images he gives us fresh access to reality"", Literature: 1931
Willy, Brandt, ""for paving the way for a meaningful dialogue between East and West"", Peace: 1913
Herbert C., Brown, ""for their development of the use of boron- and phosphorus-containing compounds respectively into important reagents in organic synthesis"", Chemistry: ",1912,born,1912,1912,2004,1979
203,"Jean, Dausset, ""for their discoveries concerning genetically determined structures on the cell surface that regulate immunological reactions"", Medicine: 1916
Arthur, Ashkin, ""for the optical tweezers and their application to biological systems"", Physics: 1922
Paul, Sabatier, ""for his method of hydrogenating organic compounds in the presence of finely disintegrated metals whereby the progress of organic chemistry has been greatly advanced in recent years"", Chemistry: 1854
Max F., Perutz, ""for their studies of the structures of globular proteins"", Chemistry: ",1914,born,1914,1914,2002,1962
204,"Daniel, Kahneman, ""for having integrated insights from psychological research into economic science especially concerning human judgment and decision-making under uncertainty"", Economics: 1934
F.W., de Klerk, ""for their work for the peaceful termination of the apartheid regime and for laying the foundations for a new democratic South Africa"", Peace: 1936
Adolf, Butenandt, ""for his work on sex hormones"", Chemistry: 1903
Gerhard, Herzberg, ""for his contributions to the knowledge of electronic structure and geometry of molecules particularly free radicals"", Chemistry: ",1904,born,1904,1904,1999,1971
205,"Johann, Deisenhofer, ""for the determination of the three-dimensional structure of a photosynthetic reaction centre"", Chemistry: 1943
Robert H., Grubbs, ""for the development of the metathesis method in organic synthesis"", Chemistry: 1942
Mikhail, Sholokhov, ""for the artistic power and integrity with which in his epic of the Don he has given expression to a historic phase in the life of the Russian people"", Literature: 1905
Charles G., Dawes, ""for his crucial role in bringing about the Dawes Plan"", Peace: ",1865,born,1925,1865,1951,1925
206,"Abhijit, Banerjee, ""for their experimental approach to alleviating global poverty"", Economics: 1961
Dickinson W., Richards, ""for their discoveries concerning heart catheterization and pathological changes in the circulatory system"", Medicine: 1895
Bertha, von Suttner, ""for her audacity to oppose the horrors of war"", Peace: 1843
Irving, Langmuir, ""for his discoveries and investigations in surface chemistry"", Chemistry: ",1881,born,1881,1881,1957,1932
207,"Gabriel, García Márquez, ""for his novels and short stories in which the fantastic and the realistic are combined in a richly composed world of imagination reflecting a continent's life and conflicts"", Literature: 1927
Andrew Z., Fire, ""for their discovery of RNA interference - gene silencing by double-stranded RNA"", Medicine: 1959
Bertha, von Suttner, ""for her audacity to oppose the horrors of war"", Peace: 1843
Willard S., Boyle, ""for the invention of an imaging semiconductor circuit - the CCD sensor"", Physics: ",1924,born,1924,1924,2011,2009
208,"Steven, Weinberg, ""for their contributions to the theory of the unified weak and electromagnetic interaction between elementary particles including inter alia the prediction of the weak neutral current"", Physics: 1933
Svante, Arrhenius, ""in recognition of the extraordinary services he has rendered to the advancement of chemistry by his electrolytic theory of dissociation"", Chemistry: 1859
Günter, Blobel, ""for the discovery that proteins have intrinsic signals that govern their transport and localization in the cell"", Medicine: 1936
Richard R., Ernst, ""for his contributions to the development of the methodology of high resolution nuclear magnetic resonance (NMR) spectroscopy"", Chemistry: ",1933,born,1933,1933,2021,1991
209,"Christopher A., Pissarides, ""for their analysis of markets with search frictions"", Economics: 1948
Niels, Bohr, ""for his services in the investigation of the structure of atoms and of the radiation emanating from them"", Physics: 1885
Ivan, Bunin, ""for the strict artistry with which he has carried on the classical Russian traditions in prose writing"", Literature: 1870
Albrecht, Kossel, ""in recognition of the contributions to our knowledge of cell chemistry made through his work on proteins including the nucleic substances"", Medicine: ",1853,born,1853,1853,1927,1910
210,"Albert, Einstein, ""for his services to Theoretical Physics and especially for his discovery of the law of the photoelectric effect"", Physics: 1879
Hiroshi, Amano, ""for the invention of efficient blue light-emitting diodes which has enabled bright and energy-saving white light sources"", Physics: 1960
Albert A., Michelson, ""for his optical precision instruments and the spectroscopic and metrological investigations carried out with their aid"", Physics: 1852
Satoshi, Ōmura, ""for their discoveries concerning a novel therapy against infections caused by roundworm parasites"", Medicine: ",1935,born,1935,1935,,2015
211,"René, Cassin, ""for his struggle to ensure the rights of man as stipulated in the UN Declaration"", Peace: 1887
Sir Alexander, Fleming, ""for the discovery of penicillin and its curative effect in various infectious diseases"", Medicine: 1881
Masatoshi, Koshiba, ""for pioneering contributions to astrophysics in particular for the detection of cosmic neutrinos"", Physics: 1926
Manfred, Eigen, ""for their studies of extremely fast chemical reactions effected by disturbing the equilibrium by means of very short pulses of energy"", Chemistry: ",1927,born,1927,1927,2019,1967
212,"Aziz, Sancar, ""for mechanistic studies of DNA repair"", Chemistry: 1946
Friedrich, Bergius, ""in recognition of their contributions to the invention and development of chemical high pressure methods"", Chemistry: 1884
Richard F., Heck, ""for palladium-catalyzed cross couplings in organic synthesis"", Chemistry: 1931
Paul, Milgrom, ""for improvements to auction theory and inventions of new auction formats"", Economics: ",1948,born,1948,1948,,2020
213,"Sir Alexander, Fleming, ""for the discovery of penicillin and its curative effect in various infectious diseases"", Medicine: 1881
Abhijit, Banerjee, ""for their experimental approach to alleviating global poverty"", Economics: 1961
Finn E., Kydland, ""for their contributions to dynamic macroeconomics: the time consistency of economic policy and the driving forces behind business cycles"", Economics: 1943
John, Bardeen, ""for their jointly developed theory of superconductivity usually called the BCS-theory"", Physics: ",1908,born,1908,1908,1991,1972
214,"Ferdinand, Buisson, ""for their contribution to the emergence in France and Germany of a public opinion which favours peaceful international cooperation"", Peace: 1841
Sir Alexander, Fleming, ""for the discovery of penicillin and its curative effect in various infectious diseases"", Medicine: 1881
Kazuo, Ishiguro, ""who in novels of great emotional force has uncovered the abyss beneath our illusory sense of connection with the world"", Literature: 1954
Julius, Axelrod, ""for their discoveries concerning the humoral transmitters in the nerve terminals and the mechanism for their storage release and inactivation"", Medicine: ",1912,born,1912,1912,2004,1970
215,"Nicolaas, Bloembergen, ""for their contribution to the development of laser spectroscopy"", Physics: 1920
Giorgos, Seferis, ""for his eminent lyrical writing inspired by a deep feeling for the Hellenic world of culture"", Literature: 1900
Robert F., Furchgott, ""for their discoveries concerning nitric oxide as a signalling molecule in the cardiovascular system"", Medicine: 1916
Irwin, Rose, ""for the discovery of ubiquitin-mediated protein degradation"", Chemistry: ",1926,born,1926,1926,2015,2004
216,"Vincent, du Vigneaud, ""for his work on biochemically important sulphur compounds especially for the first synthesis of a polypeptide hormone"", Chemistry: 1901
Jaroslav, Seifert, ""for his poetry which endowed with freshness sensuality and rich inventiveness provides a liberating image of the indomitable spirit and versatility of man"", Literature: 1901
Zhores, Alferov, ""for developing semiconductor heterostructures used in high-speed- and opto-electronics"", Physics: 1930
Albert A., Michelson, ""for his optical precision instruments and the spectroscopic and metrological investigations carried out with their aid"", Physics: ",1852,born,1907,1852,1931,1907
217,"J.J., Thomson, ""in recognition of the great merits of his theoretical and experimental investigations on the conduction of electricity by gases"", Physics: 1856
Tomas, Lindahl, ""for mechanistic studies of DNA repair"", Chemistry: 1938
Desmond, Tutu, ""for his role as a unifying leader figure in the non-violent campaign to resolve the problem of apartheid in South Africa"", Peace: 1931
André F., Cournand, ""for their discoveries concerning heart catheterization and pathological changes in the circulatory system"", Medicine: ",1895,born,1895,1895,1988,1956
218,"Sir James W., Black, ""for their discoveries of important principles for drug treatment"", Medicine: 1924
Oscar, Arias Sánchez, ""for his work for lasting peace in Central America"", Peace: 1940
William, Faulkner, ""for his powerful and artistically unique contribution to the modern American novel"", Literature: 1897
Enrico, Fermi, ""for his demonstrations of the existence of new radioactive elements produced by neutron irradiation and for his related discovery of nuclear reactions brought about by slow neutrons"", Physics: ",1901,born,1901,1901,1954,1938
219,"Saint-John, Perse, ""for the soaring flight and the evocative imagery of his poetry which in a visionary fashion reflects the conditions of our time"", Literature: 1887
Gustav, Stresemann, ""for their crucial role in bringing about the Locarno Treaty"", Peace: 1878
Richard R., Schrock, ""for the development of the metathesis method in organic synthesis"", Chemistry: 1945
Sir James W., Black, ""for their discoveries of important principles for drug treatment"", Medicine: ",1924,born,1924,1924,2010,1988
220,"Christian, Lange, ""for their lifelong contributions to the cause of peace and organized internationalism"", Peace: 1869
George, Wald, ""for their discoveries concerning the primary physiological and chemical visual processes in the eye"", Medicine: 1906
Albert, Schweitzer, ""for his altruism reverence for life and tireless humanitarian work which has helped making the idea of brotherhood between men and nations a living one"", Peace: 1875
Finn E., Kydland, ""for their contributions to dynamic macroeconomics: the time consistency of economic policy and the driving forces behind business cycles"", Economics: ",1943,born,1943,1943,,2004
221,"Oliver, Hart, ""for their contributions to contract theory"", Economics: 1948
Sir John, Eccles, ""for their discoveries concerning the ionic mechanisms involved in excitation and inhibition in the peripheral and central portions of the nerve cell membrane"", Medicine: 1903
Phillip A., Sharp, ""for their discoveries of split genes"", Medicine: 1944
Michael, Smith, ""for his fundamental contributions to the establishment of oligonucleotide-based site-directed mutagenesis and its development for protein studies"", Chemistry: ",1932,born,1932,1932,2000,1993
222,"Robert Woodrow, Wilson, ""for their discovery of cosmic microwave background radiation"", Physics: 1936
Charles H., Townes, ""for fundamental work in the field of quantum electronics which has led to the construction of oscillators and amplifiers based on the maser-laser principle"", Physics: 1915
Aaron, Klug, ""for his development of crystallographic electron microscopy and his structural elucidation of biologically important nucleic acid-protein complexes"", Chemistry: 1926
John, O'Keefe, ""for their discoveries of cells that constitute a positioning system in the brain"", Medicine: ",1939,born,1939,1939,,2014
223,"Henry, Taube, ""for his work on the mechanisms of electron transfer reactions especially in metal complexes"", Chemistry: 1915
Gerardus, 't Hooft, ""for elucidating the quantum structure of electroweak interactions in physics"", Physics: 1946
Douglass C., North, ""for having renewed research in economic history by applying economic theory and quantitative methods in order to explain economic and institutional change"", Economics: 1920
Joseph, Rotblat, ""for their efforts to diminish the part played by nuclear arms in international politics and in the longer run to eliminate such arms"", Peace: ",1908,born,1908,1908,2005,1995
224,"Kai M., Siegbahn, ""for his contribution to the development of high-resolution electron spectroscopy"", Physics: 1918
Jean, Dausset, ""for their discoveries concerning genetically determined structures on the cell surface that regulate immunological reactions"", Medicine: 1916
John E., Walker, ""for their elucidation of the enzymatic mechanism underlying the synthesis of adenosine triphosphate (ATP)"", Chemistry: 1941
Vernon L., Smith, ""for having established laboratory experiments as a tool in empirical economic analysis especially in the study of alternative market mechanisms"", Economics: ",1927,born,1927,1927,,2002
225,"Werner, Forssmann, ""for their discoveries concerning heart catheterization and pathological changes in the circulatory system"", Medicine: 1904
John F., Nash Jr., ""for their pioneering analysis of equilibria in the theory of non-cooperative games"", Economics: 1928
Myron, Scholes, ""for a new method to determine the value of derivatives"", Economics: 1941
Elias James, Corey, ""for his development of the theory and methodology of organic synthesis"", Chemistry: ",1928,born,1928,1928,,1990
226,"Archibald V., Hill, ""for his discovery relating to the production of heat in the muscle"", Medicine: 1886
Heinrich, Böll, ""for his writing which through its combination of a broad perspective on his time and a sensitive skill in characterization has contributed to a renewal of German literature"", Literature: 1917
William A., Fowler, ""for his theoretical and experimental studies of the nuclear reactions of importance in the formation of the chemical elements in the universe"", Physics: 1911
Thomas C., Südhof, ""for their discoveries of machinery regulating vesicle traffic a major transport system in our cells"", Medicine: ",1955,born,1955,1955,,2013
227,"Bruce A., Beutler, ""for their discoveries concerning the activation of innate immunity"", Medicine: 1957
T.S., Eliot, ""for his outstanding pioneer contribution to present-day poetry"", Literature: 1888
J. Robin, Warren, ""for their discovery of the bacterium <i>Helicobacter pylori</i> and its role in gastritis and peptic ulcer disease"", Medicine: 1937
Marshall W., Nirenberg, ""for their interpretation of the genetic code and its function in protein synthesis"", Medicine: ",1927,born,1927,1927,2010,1968
228,"Joseph, Rotblat, ""for their efforts to diminish the part played by nuclear arms in international politics and in the longer run to eliminate such arms"", Peace: 1908
Ernest T.S., Walton, ""for their pioneer work on the transmutation of atomic nuclei by artificially accelerated atomic particles"", Physics: 1903
Arno, Penzias, ""for their discovery of cosmic microwave background radiation"", Physics: 1933
Frits, Zernike, ""for his demonstration of the phase contrast method especially for his invention of the phase contrast microscope"", Physics: ",1888,born,1953,1888,1966,1953
229,"Malala, Yousafzai, ""for their struggle against the suppression of children and young people and for the right of all children to education"", Peace: 1997
Barry, Sharpless, ""for the development of click chemistry and bioorthogonal chemistry"", Chemistry: 1941
Michael S., Brown, ""for their discoveries concerning the regulation of cholesterol metabolism"", Medicine: 1941
Frédéric, Joliot, ""in recognition of their synthesis of new radioactive elements"", Chemistry: ",1900,born,1935,1900,1958,1935
230,"Yasunari, Kawabata, ""for his narrative mastery which with great sensibility expresses the essence of the Japanese mind"", Literature: 1899
James J., Heckman, ""for his development of theory and methods for analyzing selective samples"", Economics: 1944
Ernest, Lawrence, ""for the invention and development of the cyclotron and for results obtained with it especially with regard to artificial radioactive elements"", Physics: 1901
Carl, Spitteler, ""in special appreciation of his epic <I>Olympian Spring</I>"", Literature: ",1845,born,1845,1845,1924,1919
231,"Akira, Suzuki, ""for palladium-catalyzed cross couplings in organic synthesis"", Chemistry: 1930
Dale T., Mortensen, ""for their analysis of markets with search frictions"", Economics: 1939
Robert, Wilson, ""for improvements to auction theory and inventions of new auction formats"", Economics: 1937
Henrik, Dam, ""for his discovery of vitamin K"", Medicine: ",1895,born,1943,1895,1976,1943
232,"Melvin, Calvin, ""for his research on the carbon dioxide assimilation in plants"", Chemistry: 1911
Emily Greene, Balch, ""for her lifelong work for the cause of peace"", Peace: 1867
Eric, Cornell, ""for the achievement of Bose-Einstein condensation in dilute gases of alkali atoms and for early fundamental studies of the properties of the condensates"", Physics: 1961
Eric F., Wieschaus, ""for their discoveries concerning the genetic control of early embryonic development"", Medicine: ",1947,born,1947,1947,,1995
233,"Santiago, Ramón y Cajal, ""in recognition of their work on the structure of the nervous system"", Medicine: 1852
Richard, Axel, ""for their discoveries of odorant receptors and the organization of the olfactory system"", Medicine: 1946
Friedrich, von Hayek, ""for their pioneering work in the theory of money and economic fluctuations and for their penetrating analysis of the interdependence of economic social and institutional phenomena"", Economics: 1899
Michael, Levitt, ""for the development of multiscale models for complex chemical systems"", Chemistry: ",1947,born,1947,1947,,2013
234,"Seán, MacBride, ""for his efforts to secure and develop human rights throughout the world"", Peace: 1904
John, Bardeen, ""for their jointly developed theory of superconductivity usually called the BCS-theory"", Physics: 1908
Edward A., Doisy, ""for his discovery of the chemical nature of vitamin K"", Medicine: 1893
Robert, Mundell, ""for his analysis of monetary and fiscal policy under different exchange rate regimes and his analysis of optimum currency areas"", Economics: ",1932,born,1932,1932,2021,1999
235,"Robert, Koch, ""for his investigations and discoveries in relation to tuberculosis"", Medicine: 1843
Christopher A., Pissarides, ""for their analysis of markets with search frictions"", Economics: 1948
Ivan, Bunin, ""for the strict artistry with which he has carried on the classical Russian traditions in prose writing"", Literature: 1870
Ernest, Rutherford, ""for his investigations into the disintegration of the elements and the chemistry of radioactive substances"", Chemistry: ",1871,born,1871,1871,1937,1908
236,"Jack W., Szostak, ""for the discovery of how chromosomes are protected by telomeres and the enzyme telomerase"", Medicine: 1952
Yitzhak, Rabin, ""for their efforts to create peace in the Middle East"", Peace: 1922
Edwin G., Krebs, ""for their discoveries concerning reversible protein phosphorylation as a biological regulatory mechanism"", Medicine: 1918
Eric, Betzig, ""for the development of super-resolved fluorescence microscopy"", Chemistry: ",1960,born,2014,1960,,2014
237,"Akira, Yoshino, ""for the development of lithium-ion batteries"", Chemistry: 1948
Ben, Bernanke, ""for research on banks and financial crises"", Economics: 1953
Brian D., Josephson, ""for his theoretical predictions of the properties of a supercurrent through a tunnel barrier in particular those phenomena which are generally known as the Josephson effects"", Physics: 1940
Hjalmar, Branting, ""for their lifelong contributions to the cause of peace and organized internationalism"", Peace: ",1860,born,1860,1860,1925,1921
238,"M. Stanley, Whittingham, ""for the development of lithium-ion batteries"", Chemistry: 1941
Konrad, Bloch, ""for their discoveries concerning the mechanism and regulation of the cholesterol and fatty acid metabolism"", Medicine: 1912
Elizabeth H., Blackburn, ""for the discovery of how chromosomes are protected by telomeres and the enzyme telomerase"", Medicine: 1948
Ivan, Pavlov, ""in recognition of his work on the physiology of digestion through which knowledge on vital aspects of the subject has been transformed and enlarged"", Medicine: ",1849,born,1849,1849,1936,1904
239,"Ryoji, Noyori, ""for their work on chirally catalysed hydrogenation reactions"", Chemistry: 1938
William H., Stein, ""for their contribution to the understanding of the connection between chemical structure and catalytic activity of the active centre of the ribonuclease molecule"", Chemistry: 1911
Alfred D., Hershey, ""for their discoveries concerning the replication mechanism and the genetic structure of viruses"", Medicine: 1908
Salvatore, Quasimodo, ""for his lyrical poetry which with classical fire expresses the tragic experience of life in our own times"", Literature: ",1901,born,1901,1901,1968,1959
240,"Bjørnstjerne, Bjørnson, ""as a tribute to his noble magnificent and versatile poetry which has always been distinguished by both the freshness of its inspiration and the rare purity of its spirit"", Literature: 1832
André F., Cournand, ""for their discoveries concerning heart catheterization and pathological changes in the circulatory system"", Medicine: 1895
Russell A., Hulse, ""for the discovery of a new type of pulsar a discovery that has opened up new possibilities for the study of gravitation"", Physics: 1950
Manne, Siegbahn, ""for his discoveries and research in the field of X-ray spectroscopy"", Physics: ",1886,born,1886,1886,1978,1924
241,"Murray, Gell-Mann, ""for his contributions and discoveries concerning the classification of elementary particles and their interactions"", Physics: 1929
Maria, Ressa, ""for their efforts to safeguard freedom of expression which is a precondition for democracy and lasting peace"", Peace: 1963
George D., Snell, ""for their discoveries concerning genetically determined structures on the cell surface that regulate immunological reactions"", Medicine: 1903
Renato, Dulbecco, ""for their discoveries concerning the interaction between tumour viruses and the genetic material of the cell"", Medicine: ",1914,born,1914,1914,2012,1975
242,"Jack, Kilby, ""for his part in the invention of the integrated circuit"", Physics: 1923
Adolf, Butenandt, ""for his work on sex hormones"", Chemistry: 1903
Kailash, Satyarthi, ""for their struggle against the suppression of children and young people and for the right of all children to education"", Peace: 1954
Tobias, Asser, ""for his role as co-founder of the Institut de droit international initiator of the Conferences on International Private Law (Conférences de Droit international privé) at the Hague and pioneer in the field of international legal relations"", Peace: ",1838,born,1838,1838,1913,1911
243,"Julian, Schwinger, ""for their fundamental work in quantum electrodynamics with deep-ploughing consequences for the physics of elementary particles"", Physics: 1918
William, Vickrey, ""for their fundamental contributions to the economic theory of incentives under asymmetric information"", Economics: 1914
Brian D., Josephson, ""for his theoretical predictions of the properties of a supercurrent through a tunnel barrier in particular those phenomena which are generally known as the Josephson effects"", Physics: 1940
Konrad, Lorenz, ""for their discoveries concerning organization and elicitation of individual and social behaviour patterns"", Medicine: ",1903,born,1903,1903,1989,1973
244,"Gary, Becker, ""for having extended the domain of microeconomic analysis to a wide range of human behaviour and interaction including nonmarket behaviour"", Economics: 1930
George F., Smoot, ""for their discovery of the blackbody form and anisotropy of the cosmic microwave background radiation"", Physics: 1945
Frederick, Sanger, ""for his work on the structure of proteins especially that of insulin"", Chemistry: 1918
Owen Willans, Richardson, ""for his work on the thermionic phenomenon and especially for the discovery of the law named after him"", Physics: ",1879,born,1879,1879,1959,1928
245,"Arieh, Warshel, ""for the development of multiscale models for complex chemical systems"", Chemistry: 1940
Mairead, Corrigan, ""for the courageous efforts in founding a movement to put an end to the violent conflict in Northern Ireland"", Peace: 1944
Louise, Glück, ""for her unmistakable poetic voice that with austere beauty makes individual existence universal"", Literature: 1943
Youyou, Tu, ""for her discoveries concerning a novel therapy against Malaria"", Medicine: ",1930,born,1930,1930,,2015
246,"George H., Hitchings, ""for their discoveries of important principles for drug treatment"", Medicine: 1905
Gerd, Binnig, ""for their design of the scanning tunneling microscope"", Physics: 1947
Robert F., Furchgott, ""for their discoveries concerning nitric oxide as a signalling molecule in the cardiovascular system"", Medicine: 1916
Kailash, Satyarthi, ""for their struggle against the suppression of children and young people and for the right of all children to education"", Peace: ",1954,born,1954,1954,,2014
247,"Alfred, Kastler, ""for the discovery and development of optical methods for studying Hertzian resonances in atoms"", Physics: 1902
Robert H., Grubbs, ""for the development of the metathesis method in organic synthesis"", Chemistry: 1942
Guglielmo, Marconi, ""in recognition of their contributions to the development of wireless telegraphy"", Physics: 1874
Ernest T.S., Walton, ""for their pioneer work on the transmutation of atomic nuclei by artificially accelerated atomic particles"", Physics: ",1903,born,1903,1903,1995,1951
248,"Martin, Ryle, ""for their pioneering research in radio astrophysics: Ryle for his observations and inventions in particular of the aperture synthesis technique and Hewish for his decisive role in the discovery of pulsars"", Physics: 1918
Shimon, Peres, ""for their efforts to create peace in the Middle East"", Peace: 1923
Linda B., Buck, ""for their discoveries of odorant receptors and the organization of the olfactory system"", Medicine: 1947
John F., Nash Jr., ""for their pioneering analysis of equilibria in the theory of non-cooperative games"", Economics: ",1928,born,1928,1928,2015,1994
249,"Akira, Suzuki, ""for palladium-catalyzed cross couplings in organic synthesis"", Chemistry: 1930
Miguel Angel, Asturias, ""for his vivid literary achievement deep-rooted in the national traits and traditions of Indian peoples of Latin America"", Literature: 1899
Sir Arthur, Lewis, ""for their pioneering research into economic development research with particular consideration of the problems of developing countries"", Economics: 1915
Jody, Williams, ""for their work for the banning and clearing of anti-personnel mines"", Peace: ",1950,born,1950,1950,,1997
250,"Ronald, Ross, ""for his work on malaria by which he has shown how it enters the organism and thereby has laid the foundation for successful research on this disease and methods of combating it"", Medicine: 1857
Severo, Ochoa, ""for their discovery of the mechanisms in the biological synthesis of ribonucleic acid and deoxyribonucleic acid"", Medicine: 1905
Roald, Hoffmann, ""for their theories developed independently concerning the course of chemical reactions"", Chemistry: 1937
George J., Stigler, ""for his seminal studies of industrial structures functioning of markets and causes and effects of public regulation"", Economics: ",1911,born,1911,1911,1991,1982
251,"Theodore W., Schultz, ""for their pioneering research into economic development research with particular consideration of the problems of developing countries"", Economics: 1902
William H., Stein, ""for their contribution to the understanding of the connection between chemical structure and catalytic activity of the active centre of the ribonuclease molecule"", Chemistry: 1911
Philip, Dybvig, ""for research on banks and financial crises"", Economics: 1955
Phillip A., Sharp, ""for their discoveries of split genes"", Medicine: ",1944,born,1944,1944,,1993
252,"Henrik, Pontoppidan, ""for his authentic descriptions of present-day life in Denmark"", Literature: 1857
Aaron, Klug, ""for his development of crystallographic electron microscopy and his structural elucidation of biologically important nucleic acid-protein complexes"", Chemistry: 1926
Melvin, Calvin, ""for his research on the carbon dioxide assimilation in plants"", Chemistry: 1911
Alexandr, Solzhenitsyn, ""for the ethical force with which he has pursued the indispensable traditions of Russian literature"", Literature: ",1918,born,1918,1918,2008,1970
253,"Giosuè, Carducci, ""not only in consideration of his deep learning and critical research but above all as a tribute to the creative energy freshness of style and lyrical force which characterize his poetic masterpieces"", Literature: 1835
Oliver, Hart, ""for their contributions to contract theory"", Economics: 1948
Jacques, Dubochet, ""for developing cryo-electron microscopy for the high-resolution structure determination of biomolecules in solution"", Chemistry: 1942
Jack, Kilby, ""for his part in the invention of the integrated circuit"", Physics: ",1923,born,1923,1923,2005,2000
254,"Baruj, Benacerraf, ""for their discoveries concerning genetically determined structures on the cell surface that regulate immunological reactions"", Medicine: 1920
Emily Greene, Balch, ""for her lifelong work for the cause of peace"", Peace: 1867
Nadine, Gordimer, ""who through her magnificent epic writing has - in the words of Alfred Nobel - been of very great benefit to humanity"", Literature: 1923
Muhammad, Yunus, ""for their efforts to create economic and social development from below"", Peace: ",1940,born,1940,1940,,2006
255,"Dorothy Crowfoot, Hodgkin, ""for her determinations by X-ray techniques of the structures of important biochemical substances"", Chemistry: 1910
Bengt, Holmström, ""for their contributions to contract theory"", Economics: 1949
Leon M., Lederman, ""for the neutrino beam method and the demonstration of the doublet structure of the leptons through the discovery of the muon neutrino"", Physics: 1922
Nikolaas, Tinbergen, ""for their discoveries concerning organization and elicitation of individual and social behaviour patterns"", Medicine: ",1907,born,1907,1907,1988,1973
256,"William, Vickrey, ""for their fundamental contributions to the economic theory of incentives under asymmetric information"", Economics: 1914
Günter, Blobel, ""for the discovery that proteins have intrinsic signals that govern their transport and localization in the cell"", Medicine: 1936
Nicholas Murray, Butler, ""for their assiduous effort to revive the ideal of peace and to rekindle the spirit of peace in their own nation and in the whole of mankind"", Peace: 1862
Albert, Schweitzer, ""for his altruism reverence for life and tireless humanitarian work which has helped making the idea of brotherhood between men and nations a living one"", Peace: ",1875,born,1875,1875,1965,1952
